en,zh,confidence
the sky is the limit,前途无量,7
the sky's the limit,前途无量,7
the spirit is strong but the flesh is weak,心有余而力不足,10
"the spirit is strong, but the flesh is weak",心有余而力不足,10
the spirit is willing but the flesh is weak,心有余而力不足,10
"the spirit is willing, but the flesh is weak",心有余而力不足,10
the squeaky wheel gets the grease,会哭的孩子有奶吃,10
the squeaky wheel gets the oil,会哭的孩子有奶吃,10
the streets are paved with gold,遍地是黄金,7
the strong do what they can and the weak suffer what they must,弱肉强食,9
"the strong do what they can, the weak suffer what they must",弱肉强食,9
the tongue wounds more than a lance,恶语伤人六月寒,10
the truth is effortless,真金不怕火炼,6
the truth is in the wine,酒后吐真言,10
the truth will set you free,实话实说心里坦,6
the victor gets the spoils,胜者为王败者为寇,9
"the voice of the people, the voice of god",得民心者得天下,7
the way to a man's heart is through his stomach,要抓住男人先抓住他的胃,10
the wheel turns,风水轮流转,9
the whistle does not pull the train,雷声大雨点小,6
the whistle doesn't pull the train,雷声大雨点小,6
the winner takes it all,赢者通吃,10
the wolf may lose his teeth but never his nature,江山易改，本性难移,10
the work praises the man,事实胜于雄辩,7
the world is someone's oyster,前程似锦,6
the) truth will out,纸包不住火,10
them that has gets,强者愈强弱者愈弱,7
"them that has, gets",强者愈强弱者愈弱,7
"them that has, gets more",强者愈强弱者愈弱,8
them what has gets,强者愈强弱者愈弱,7
"them what has, gets",强者愈强弱者愈弱,7
"them what has, gets more",强者愈强弱者愈弱,8
there ain't no such thing as a free lunch,天下没有免费的午餐,10
there are always more fish in the sea,天涯何处无芳草,10
there are bad apples in every orchard,林子大了什么鸟都有,8
there are many ways to skin a cat,条条大路通罗马,9
there are more ways of killing a cat than choking it with cream,条条大路通罗马,6
there are none so blind as those who will not see,不见棺材不落泪,8
there are none so deaf as those who will not hear,充耳不闻,9
there are plenty more fish in the sea,天涯何处无芳草,10
there are plenty more pebbles on the beach,天涯何处无芳草,8
there are plenty of fish in the sea,天涯何处无芳草,10
there are plenty of pebbles on the beach,天涯何处无芳草,8
there are two sides to every question,一体两面,7
there are two sides to every story,公说公有理婆说婆有理,9
there but for the grace of god go i,今日之事，未必不在我身,5
there is a lid for every pot,天生一对,6
there is a place and time for everything,凡事皆有定时,7
there is a time and a place for everything,凡事皆有定时,7
there is a time and place for everything,凡事都有个先来后到,7
there is an exception to every rule,事无绝对,10
there is honour among thieves,盗亦有道,10
there is many a good tune played on an old fiddle,姜还是老的辣,8
there is more than one way to skin a cat,条条大路通罗马,9
there is no accounting for tastes,萝卜青菜，各有所爱,10
there is no fool like an old fool,人老糊涂,6
there is no honor among thieves,狗咬狗，一嘴毛,7
there is no i in team,众人拾柴火焰高,8
there is no place like home,金窝银窝不如自家草窝,10
there is no shame in not knowing; the shame lies in not finding out,不耻下问,9
"there is no smoke without fire/where there is smoke, there is fire",无风不起浪,10
there is no such thing as a free lunch,天下没有免费的午餐,10
there is no time like the present,机不可失，时不再来,10
there is nothing new under the sun,日光之下并无新事,9
there is one born every minute,天下乌鸦一般黑,3
there is safety in numbers,人多力量大,8
there is strength in numbers,众人拾柴火焰高,10
there may be snow on the mountaintop but there's fire in the valley,人老心不老,7
there may be snow on the rooftop but there is fire in the furnace,人老心不老,7
there's a first time for everything,凡事总有第一次,8
there's a lid for every pot,天生我材必有用,4
there's a place and time for everything,凡事都有个先来后到,7
there's a rotten apple in every barrel,林子大了什么鸟都有,8
there's a sucker born every minute,世上不缺冤大头,5
there's a time and a place for everything,凡事都有个先来后到,7
there's a time and place for everything,凡事都有个先来后到,7
there's always a bigger fish,一山还有一山高,10
there's many a good tune played on an old fiddle,姜还是老的辣,8
there's many a slip 'twixt the cup and the lip,天有不测风云，人有旦夕祸福,8
there's many a slip between the cup and the lip,天有不测风云，人有旦夕祸福,8
there's many a slip twixt cup and lip,天有不测风云，人有旦夕祸福,8
there's many a slip twixt the cup and the lip,天有不测风云，人有旦夕祸福,8
there's more than one way to cook an egg,条条大路通罗马,9
there's more than one way to crack an egg,条条大路通罗马,9
there's more than one way to feed a cat,条条大路通罗马,8
there's more than one way to fuck a cat,条条大路通罗马,7
there's more than one way to peel an orange,条条大路通罗马,8
there's more than one way to skin a cat,条条大路通罗马,9
there's no accounting for taste,萝卜青菜，各有所爱,10
there's no fool like an old fool,人老心不老，糊涂更年少,4
there's no i in team,众人拾柴火焰高,8
there's no need to wear a hair shirt,何必自寻烦恼,8
there's no place like home,金窝银窝不如自家草窝,10
there's no point crying over spilt milk,覆水难收,10
there's no smoke without fire,无风不起浪,10
there's no time like the present,机不可失，时不再来,9
there's no use crying over spilt milk,覆水难收,10
there's none so blind as those who will not see,不见棺材不落泪,8
there's nowt so queer as folk,林子大了什么鸟都有,9
there's one born every minute,天下乌鸦一般黑，冤大头到处有,5
they hate us 'cause they ain't us,人红是非多,7
they that sow the wind shall reap the whirlwind,种瓜得瓜，种豆得豆,9
they'll do it every time,江山易改，本性难移,7
third time is a charm,事不过三,7
third time pays for all,事不过三,7
third time's a charm,事不过三,7
third time's the charm,事不过三,7
this too shall pass,否极泰来,8
this too shall pass away,否极泰来,8
those that have get,强者愈强，弱者愈弱,7
those that have get more,强者愈强，弱者愈弱,8
"those that have, get",强者愈强，弱者愈弱,7
"those that have, get more",强者愈强，弱者愈弱,8
those who do not learn from history are doomed to repeat it,前事不忘，后事之师,10
those who have get,强者愈强，弱者愈弱,7
those who have get more,强者愈强，弱者愈弱,8
"those who have, get",强者愈强，弱者愈弱,7
"those who have, get more",强者愈强，弱者愈弱,8
those who live in glass houses should not throw stones,己所不欲，勿施于人,7
those who live in glass houses shouldn't throw stones,己所不欲，勿施于人,7
those who say it cannot be done should not interrupt those doing it,空谈误国，实干兴邦,8
those who sleep with dogs will rise with fleas,近朱者赤近墨者黑,9
"those who will not when they may, when they will they shall have nay",机不可失失不再来,8
three strikes and you're out,事不过三,8
three times a charm,事不过三,7
"throw dirt enough, and some will stick",谣言多了就成了事实,7
throw enough mud at the wall and some of it will stick,谣言多了就成了事实,8
"throw enough mud at the wall, some of it will stick",谣言多了就成了事实,8
tide nor time tarrieth no man,岁月不待人,8
time and tide,光阴似箭,6
time and tide stay for no man,岁月不待人,9
time and tide tarry for no man,岁月不待人,9
time and tide wait for no man,岁月不待人,10
time flies,光阴似箭,10
time flies when you're having fun,乐极不知时日过,9
time heals,时间是最好的良药,9
time heals all hurts,时间是最好的良药,9
time heals all sorrows,时间是最好的良药,9
time heals all things,时间是最好的良药,8
time heals all wounds,时间是最好的良药,10
time heals every wound,时间是最好的良药,9
time is a great healer,时间是最好的良药,10
time is a great healer of all wounds,时间是最好的良药,9
time is money,一寸光阴一寸金,10
time is the great healer,时间是最好的良药,10
time is wasted without purpose,虚度光阴,7
timing is everything,时机就是一切,6
tis better to have loved and lost than never to have loved at all,曾经沧海难为水,5
"to a hammer, everything looks like a nail",一叶障目不见泰山,6
to be worn out is to be renewed,旧的不去新的不来,7
to each his own,各有所好,10
to each their own,各有所好,10
to err is human,人非圣贤孰能无过,10
"to err is human, to forgive divine",人非圣贤孰能无过,7
"to err is human; to forgive, divine",人非圣贤孰能无过,7
to the victor go the spoils,胜者为王败者为寇,9
to the victor the spoils,胜者为王败者为寇,9
to thine own self be true,不忘初心,7
to travel hopefully is a better thing than to arrive,重在过程,7
today is a good day to die,生死有命,6
tomorrow is another day,车到山前必有路,7
tomorrow never comes,明日复明日，明日何其多,9
"too little, too late",为时已晚,7
too many chefs spoil the broth,厨子多了烧坏汤,9
too many cooks spoil the broth,厨子多了烧坏汤,10
too many cooks spoil the soup,厨子多了烧坏汤,9
too many cooks spoil the stew,厨子多了烧坏汤,9
too many cooks spoils the broth,厨子多了烧坏汤,10
too much bed makes a dull head,饱食终日，无所用心,6
too much pudding will choke a dog,物极必反,7
too much rain makes a flood,过犹不及,9
too much water drowned the miller,水能载舟，亦能覆舟,8
"trust every man, but cut the cards",防人之心不可无,8
"trust everybody, but always cut the cards",防人之心不可无,8
"trust everybody, but always cut the deck",防人之心不可无,8
"trust everybody, but cut the cards",防人之心不可无,8
"trust everybody, but cut the deck",防人之心不可无,8
"trust your friends, but cut the cards",防人之心不可无,8
"trust, but verify",信任不等于放任,7
truth is more valuable if it takes you a few years to find it,黄金易得，知己难求,4
truth is stranger than fiction,事实胜于虚构,6
truth will out,纸包不住火,10
turn your face toward the sun and the shadows fall behind you,向阳而生,6
turnabout is fair play,以其人之道，还治其人之身,9
two birds with one stone,一石二鸟,10
two can play at that game,来而不往非礼也,7
two can play that game,来而不往非礼也,7
two heads are better than one,三个臭皮匠，赛过诸葛亮,10
"two is company, but three is a crowd",两人世界不容第三者,5
two wrongs do not make a right,不能以错纠错,7
two wrongs don't make a right,不能以错纠错,7
two's company and three is none,两人世界不容第三者,5
"two's company, three's a crowd",两人世界不容第三者,5
"two's company, three's trumpery",三人行，必有一杂,3
ugly is as ugly does,相由心生,7
underpromise and overdeliver,言必行，行必果,6
uneasy lies the head that wears a crown,高处不胜寒,10
union is strength,人心齐，泰山移,10
union makes strength,众人拾柴火焰高,10
united we bargain; divided we beg,抱成一团，力量无边,5
"united we stand, divided we fall",团结就是力量,10
unity is strength,众志成城,10
unity makes strength,同心合力，其利断金,9
"until the lions have their historians, tales of the hunt shall always glorify the hunter",成王败寇,6
up a creek without a paddle,泥菩萨过江，自身难保,8
use it or lose it,拳不离手，曲不离口,9
variety is the spice of life,换换口味吃得香,4
virtue is its own reward,善有善报,7
walk softly and carry a big stick,大智若愚，大巧若拙,5
walk softly but carry a big stick,闷声发大财,6
walls have ears,隔墙有耳,10
walnuts and pears you plant for your heirs,前人栽树，后人乘凉,10
"waste not, want not",俭以防匮,8
water finds its level,物以类聚，人以群分,7
water finds its own level,物以类聚，人以群分,7
water seeks its level,物以类聚，人以群分,7
water seeks its own level,物以类聚，人以群分,7
well begun is half done,良好的开端是成功的一半,10
well done is better than well said,行胜于言,10
what cannot be cured must be endured,既来之，则安之,8
what comes around goes around,种瓜得瓜，种豆得豆,9
what does not kill me makes me stronger,吃一堑，长一智,8
what doesn't kill you makes you stronger,吃一堑，长一智,8
what go round come round,善恶到头终有报,8
what goes around comes around,不是不报，时候未到,9
"what goes around, comes around",善有善报，恶有恶报,9
what goes round comes round,风水轮流转,8
what goes up must come down,盛极必衰,9
what happens in las vegas stays in las vegas,此地无外人,4
what happens in vegas stays in vegas,夜路不外传,3
what happens on the road stays on the road,此地无事不外传,2
what has been seen cannot be unseen,一失足成千古恨,3
what is learnt in the cradle lasts to the tombs,三岁看大，七岁看老,9
what is sauce for the goose is sauce for the gander,一碗水端平,8
"what the eye does not see, the heart does not grieve over",眼不见，心不烦,10
"what the eye doesn't see, the heart doesn't grieve over",眼不见，心不烦,10
what you gain on the swings you lose on the roundabouts,此消彼长,7
what you lose on the swings you gain on the roundabouts,有失必有得,8
what's bred in the bone will come out in the flesh,江山易改，本性难移,10
what's done cannot be undone,覆水难收,10
what's done is done,木已成舟,10
what's good for the goose is good for the gander,一碗水端平,9
what's old is new again,时来运转，旧貌换新颜,4
what's sauce for the goose is sauce for the gander,一碗水端平,9
whatever floats your boat,各有所好,9
"when all you have is a hammer, everything looks like a nail",一招鲜，吃遍天,4
"when america sneezes, the world catches a cold",城门失火，殃及池鱼,6
"when i see a bird that walks like a duck and swims like a duck and quacks like a duck, i call that bird a duck",听其言，观其行,6
"when in doubt, do nowt",观望不如行动,2
when in rome,入乡随俗,10
"when in rome, do as the romans",入乡随俗,10
"when in rome, do as the romans do",入乡随俗,10
"when in rome, do like the romans do",入乡随俗,10
when it rains it pours,祸不单行,10
"when it rains, it pours",祸不单行,10
"when life gives you lemons, make lemonade",化腐朽为神奇,6
"when one door closes, another door opens",塞翁失马，焉知非福,9
"when one door closes, another one opens",塞翁失马，焉知非福,9
"when one door closes, another opens",塞翁失马，焉知非福,9
"when one door shuts, another door opens",塞翁失马，焉知非福,9
"when one door shuts, another one opens",塞翁失马，焉知非福,9
"when one door shuts, another opens",塞翁失马，焉知非福,9
"when the cat is away, the mice will play",山中无老虎，猴子称大王,10
when the cat's away,山中无老虎，猴子称大王,8
when the cat's away the mice play,山中无老虎，猴子称大王,10
when the cat's away the mice will play,山中无老虎，猴子称大王,10
"when the going gets tough, the tough get going",艰难困苦，玉汝于成,9
"when the looting starts, the shooting starts",以暴易暴,6
"when you find yourself in a hole, the first thing to do is stop digging",悬崖勒马,8
"when you have seen one, you have seen them all",大同小异,7
"when you hear hoofbeats, look for horses, not zebras",不要庸人自扰,6
"when you hear hoofbeats, think horses, not zebras",不要庸人自扰,6
"when you hear hoofbeats, think of horses, not zebras",不要庸人自扰,6
"when you mess with the bull, you get the horns",玩火者必自焚,8
"when you're up to your neck in alligators, it's hard to remember that your initial objective was to drain the swamp",只见树木不见森林,6
where there is a will there is a way,有志者事竟成,10
"where there is a will, there is a way",有志者事竟成,10
where there is life there is hope,留得青山在不怕没柴烧,9
where there is muck there is brass,有付出才有收获,6
where there's a will there's a way,有志者事竟成,10
where there's muck there's brass,有付出才有收获,6
"where there's smoke, there's fire",无风不起浪,10
where you stand depends on where you sit,立场不同观点各异,7
"wherever you go, there you are",走到哪算哪,5
"whether you think you can, or you think you can't, you're right",信心比黄金更重要,6
"while the grass grows, the steed starves",远水解不了近渴,9
while there is life there is hope,留得青山在不怕没柴烧,9
"while there's life, there's hope",留得青山在不怕没柴烧,9
who keeps company with the wolf will learn to howl,近朱者赤近墨者黑,10
"who keeps company with wolves, will learn to howl",近朱者赤近墨者黑,10
who pays the piper calls the tune,拿人手短吃人嘴软,7
who will bell the cat,谁来当这个出头鸟,6
whom the gods love die young,好人不长命,7
why keep a dog and bark yourself,请神容易送神难,3
"win on sunday, sell on monday",打响名声好做买卖,6
winning is a great deodorant,成王败寇,5
"wins on sunday, sells on monday",打响名声好做买卖,6
with great power comes great responsibility,权力越大责任越大,9
woe to the vanquished,成王败寇,8
wonders will never cease,世事无奇不有,8
words cut deep,恶语伤人六月寒,10
work expands so as to fill the time available,磨洋工,6
"work smarter, not harder",笨鸟先飞不如巧匠一挥,5
worrying never did anyone any good,船到桥头自然直,8
worse things happen at sea,天塌不下来,5
yesterday is gone,覆水难收,8
yesterday's gone,覆水难收,8
you are never too old to learn,活到老学到老,10
you are what you eat,病从口入,6
you attract more flies with honey than vinegar,良言一句三冬暖,7
"you break it, you buy it",打碎赔偿,4
"you buy cheap, you get cheap",一分钱一分货,10
you can catch more flies with honey than vinegar,良言一句三冬暖,7
you can catch more flies with honey than with vinegar,良言一句三冬暖,7
you can have too much of a good thing,物极必反,9
"you can lead a horse to water, but you can't make her drink",师傅领进门，修行在个人,9
"you can lead a horse to water, but you can't make him drink",师傅领进门，修行在个人,9
"you can lead a horse to water, but you can't make it drink",师傅领进门，修行在个人,9
"you can lead a horse to water, but you cannot make it drink",师傅领进门，修行在个人,9
"you can lead horses to water, but you can't make them drink",师傅领进门，修行在个人,9
you can never/never can tell,世事难料,8
"you can take the monkey out of the jungle, but you can't take the jungle out of the monkey",江山易改，本性难移,10
you can't be half pregnant,骑墙两头不讨好,5
you can't break a stick in a bundle,团结就是力量,8
you can't break a twig in a bundle,团结就是力量,8
you can't break sticks in a bundle,团结就是力量,8
you can't catch old birds with chaff,姜还是老的辣,7
you can't fight city hall,民不与官斗,10
you can't fix stupid,朽木不可雕,9
you can't get a quart into a pint pot,心有余而力不足,6
you can't get something for nothing,天下没有免费的午餐,10
you can't go home again,物是人非,7
you can't judge a book by its cover,人不可貌相，海水不可斗量,10
you can't keep a good man down,是金子总会发光,9
"you can't live with 'em, you can't live without 'em",有它烦没它更烦,4
"you can't live with them, you can't live without them",有它烦没它更烦,4
you can't make a silk purse of a sow's ear,巧妇难为无米之炊,7
you can't make an omelette without breaking eggs,有得必有失,8
you can't outrun your fork,病从口入,6
you can't polish a turd,朽木不可雕也,9
you can't polish shit,朽木不可雕也,9
you can't pour from an empty cup,巧妇难为无米之炊,7
you can't put a wise head on young shoulders,少不更事,8
you can't put an old head on young shoulders,少不更事,8
you can't put the shit back in the horse,覆水难收,9
you can't put the toothpaste back in the tube,覆水难收,10
you can't put the toothpaste back into the tube,覆水难收,10
you can't run with the hare and hunt with the hounds,脚踏两只船,8
you can't step in the same river twice,人不能两次踏进同一条河流,10
you can't take it with you,生不带来死不带去,10
you can't teach an old dog new tricks,江山易改，本性难移,9
you can't tell a book by its cover,人不可貌相，海水不可斗量,10
you can't unring a bell,覆水难收,9
you can't win them all,胜败乃兵家常事,8
you cannot always get what you want,世事岂能尽如人意,10
you cannot break a stick in a bundle,团结就是力量,7
you cannot break a twig in a bundle,团结就是力量,7
you cannot break sticks in a bundle,团结就是力量,7
you cannot burn a candle at both ends,蜡烛两头烧,9
you cannot get blood out of a stone,巧妇难为无米之炊,7
you cannot have your cake and eat it too,鱼与熊掌不可兼得,10
you cannot make a silk purse from a sow's ear,朽木不可雕也,9
you cannot make an omelette without breaking eggs,有失才有得,6
you cannot make bricks without straw,巧妇难为无米之炊,10
you cannot please everyone,众口难调,10
you cannot put the same shoe on every foot,不能一刀切,8
you cannot run with the hare and hunt with the hounds,脚踏两只船,8
you cannot unscramble eggs,覆水难收,9
you cannot win them all,胜败乃兵家常事,8
you cannot) teach an old dog new tricks,江山易改，本性难移,9
you catch more flies with honey than vinegar,和气生财,7
you catch more flies with honey than with vinegar,和气生财,7
you don't get owt for nowt,一分耕耘一分收获,9
you don't get something for nothing,天下没有免费的午餐,10
you don't know what you've got till it's gone,失去了才懂得珍惜,9
you don't look at the mantelpiece when you poke the fire,饥不择食,7
you don't look at the mantelpiece when you're poking the fire,饥不择食,7
you don't miss the water till the well runs dry,井干方知水可贵,8
you don't need a weatherman to know which way the wind blows,不问可知,6
you either die a hero or live long enough to see yourself become the villain,英雄迟暮不如早退,4
you get more with a kind word and a gun than you do with a kind word alone,软硬兼施,8
you get what you pay for,一分钱一分货,10
you have to be good to be lucky,谋事在人，成事在天,6
you have to be in it to win it,不入虎穴，焉得虎子,8
you make the bed you lie in,自作自受,9
you may/might as well be hanged/hung for a sheep as (for) a lamb,横竖都是死，不如豁出去,6
you miss 100% of the shots you don't take,不试不知,7
you must have rocks in your head,脑子进水了,9
you never know what you've got till it's gone,失去了才懂得珍惜,10
you never miss the water till the well runs dry,井干方知水可贵,9
you never miss the water until the well runs dry,井干方知水可贵,9
you only get what you give,有付出才有回报,9
you only go around once,人生只有一次,7
you only go around once in life,人生只有一次,7
you only live once,人生只有一次,8
you pay your dime and you takes your chances,愿赌服输,8
you pay your money and you take your choice,愿打愿挨,7
you pays your money and you takes your chances,愿赌服输,8
you pays your money and you takes your choice,愿打愿挨,7
you pays your nickel and you takes your chances,愿赌服输,7
you pays your nickel and you takes your choice,愿打愿挨,7
you scratch my back and i will scratch yours,礼尚往来,9
you scratch my back and i'll scratch yours,礼尚往来,9
you snooze you lose,机不可失，时不再来,9
"you win some, you lose some",有得必有失,8
you'll never get if you never go,不入虎穴，焉得虎子,8
you're never fully dressed without a smile,笑一笑，十年少,7
you're never too old to learn,活到老，学到老,10
you're only as good as your last shift,好汉不提当年勇,6
you've got to be in it to win it,不入虎穴焉得虎子,9
you've got to crack a few eggs to make an omelette,有失才有得,8
you've got to separate the wheat from the chaff,去粗取精,8
you've made your bed and you must lie in/on it,自作自受,9
"your face, your fate",相由心生,6
your net worth is your network,多个朋友多条路,7
your network is your net worth,多个朋友多条路,7
your vibe attracts your tribe,物以类聚，人以群分,10
youth is wasted on the young,子欲养而亲不待,5
zeal without knowledge is a runaway horse,盲人骑瞎马,9
zeal without knowledge is fire without light,有勇无谋,8
a change is as good as a rest,调剂有益身心,6
a creaking door hangs longest,老猫难养,3
a dog is a man's best friend,狗是人类最忠实的朋友,8
a friend in need,患难见真情,10
a spoonful of sugar helps the medicine go down,良药苦口利于病,7
a spoonful of sugar makes the medicine go down,良药苦口利于病,7
actions have consequences,种瓜得瓜种豆得豆,9
actions speak louder than words,事实胜于雄辩,10
adversity makes strange bedfellows,同病相怜,6
age is just a number,岁月不饶人心不老,4
"all animals are equal, but some animals are more equal than others",只许州官放火不许百姓点灯,8
all cats are gray at night,夜路无贵贱,4
all cats are gray in the dark,黑灯瞎火看不出高低贵贱,5
all cats are grey at night,夜路无贵贱,4
all cats are grey by night,黑灯瞎火看不出高低贵贱,5
all cats are grey in the dark,黑灯瞎火看不出高低贵贱,5
all good things come to an end,天下没有不散的筵席,10
all good things come to him who waits,好事多磨,7
all good things must come to an end,天下没有不散的筵席,10
all hands on deck/to the pump,众人拾柴火焰高,9
all is fair in love and war,兵不厌诈,6
all is fish that comes to the net,来者不拒,6
all is for the best in the best of all possible worlds,一切都是最好的安排,8
all is grist that comes to the mill,来者不拒,7
all is well that ends well,结果好一切都好,8
all publicity is good publicity,有话题就有市场,4
all roads lead to mecca,条条大路通罗马,9
all roads lead to rome,条条大路通罗马,10
all roads lead to sydney,条条大路通罗马,8
all that glisters is not gold,人不可貌相海水不可斗量,9
all that glitters is not gold,金玉其外败絮其中,9
all that glitters/glistens is not gold,闪光的不都是金子,10
all the world loves a lover,有情人终成眷属,6
all the world's a stage,人生如戏,10
all things come to those who wait,好事多磨,7
all things excellent are as difficult as they are rare,物以稀为贵,7
all things must pass,天下没有不散的筵席,9
all work and no play makes jack a dull boy,劳逸结合,8
all you need is love,有情饮水饱,8
all's fair in love and war,兵不厌诈,6
all's fish that comes to the net,来者不拒,7
all's well that ends well,结果好就一切都好,8
almost doesn't count,差之毫厘失之千里,7
bis dat qui cito dat,雪中送炭,6
chicks before dicks,姐妹情深,5
"cold hands, warm heart",刀子嘴豆腐心,5
do as i say and not as i do,只许州官放火不许百姓点灯,7
do as i say not as i do,只许州官放火不许百姓点灯,9
do not sit in rome and strive with the pope,强龙不压地头蛇,8
does macy's tell gimbel's,同行是冤家,6
"dogs have masters, cats have staff",猫是主人狗是仆人,4
dogs have masters; cats have staff,猫是主人狗是仆人,4
don't buy green bananas,今朝有酒今朝醉,6
"early marriage, earlier pregnant",早婚早育,9
every accusation is a confession,此地无银三百两,7
extraordinary claims require extraordinary evidence,巧妇难为无米之炊,4
facts don't care about your feelings,事实胜于雄辩,9
fat is flavor,无肉不成席,7
fat is flavour,无肉不成席,7
"finders, keepers; losers, weepers",捡到就是赚到,6
fingers were made before forks,手抓才香,5
"fool me once, shame on you",一朝被蛇咬，十年怕井绳,7
free is for me,不花钱的最好,5
game is game,游戏归游戏,5
give a man a fish,授人以鱼不如授人以渔,10
"given enough eyeballs, all bugs are shallow",众人拾柴火焰高,9
good talk saves the food,好言一句三冬暖,6
good things come in threes,好事成三,6
great minds,英雄所见略同,9
hard cases make bad law,疑案难断,3
"hate the game, not the player",责人先责己,3
he who denied it supplied it,谁放的谁心里清楚,4
he who makes a beast out of himself gets rid of the pain of being a man,借酒浇愁愁更愁,4
"hunger never knows the taste, sleep never knows the comfort",饥不择食，寒不择衣,9
if it looks like a duck,像什么就是什么,3
"if you can't live longer, live deeper",不在乎天长地久，只在乎曾经拥有,7
"if you have never seen the bottom of the tree, you cannot know how tall it stands",不登高山，不知天之高；不临深溪，不知地之厚,8
"if you steal from one author, it is plagiarism; if you steal from many, it is research",博采众长,6
"if you torture the data long enough, it will confess to anything",欲加之罪，何患无辞,8
ignore all rules,我行我素,6
"in like a lion, out like a lamb",虎头蛇尾,9
"it ain't the meat, it's the motion",功夫在诗外,5
it doesn't matter what they say about you as long as they spell your name right,人怕出名猪怕壮,6
it is a wise child that knows his own father,知恩图报,3
"it is better to cultivate a land with two bulls, rather working under boss who never gives wage when asked",宁做鸡头，不做凤尾,6
it is better to travel hopefully than to arrive,重在过程，不在结果,7
it is like juggling sand,竹篮打水一场空,8
it took nixon to go to china,只有 Nixon 才能去中国,9
it's an ill wind,塞翁失马，焉知非福,8
it's better to be judged by twelve than to be carried by six,留得青山在，不怕没柴烧,7
"it's not the meat, it's the motion",功夫在诗外,5
kindness in words creates confidence. kindness in thinking creates profoundness. kindness in giving creates love,善言暖人心，善行暖人意,6
"knowledge is power, guard it well",知识就是力量,9
late lunch makes day go faster,忙中不觉时光过,4
"learn a language, and you will avoid a war",和为贵,3
let george do it,事不关己，高高挂起,6
let not the sun go down on your wrath,床头吵架床尾和,7
let sleeping aussies lie,别惹麻烦,3
"long ways, long lies",好事不出门，坏事传千里,3
loss and gain are brothers twain,有得必有失,9
love cannot be forced,强扭的瓜不甜,10
love conquers all,有情人终成眷属,7
love is blind,情人眼里出西施,10
love is love,情不知所起，一往而深,6
love makes the world go around,有情天地宽,6
love of money is the root of all evil,人为财死鸟为食亡,8
love will find a way,有情人终成眷属,8
"lucky at cards, unlucky in love",鱼与熊掌不可兼得,7
make hay while the sun shines,趁热打铁,9
make it do or do without,量入为出,7
make lemonade,化腐朽为神奇,6
make love not war,化干戈为玉帛,7
man does not live by bread alone,人活着不单靠面包,6
man is a wolf to man,人心不足蛇吞象,6
man plans and god laughs,谋事在人成事在天,8
"man proposes, god disposes",谋事在人成事在天,10
"man proposes, heaven disposes",谋事在人成事在天,10
man shall not live by bread alone,人活着不单靠面包,6
"man thinks, god laughs",谋事在人成事在天,8
manners maketh man,礼仪成就君子,5
many a little makes a mickle,积少成多,10
many a mickle makes a muckle,积少成多,10
many a true word is spoken in jest,戏言多有真意,7
many hands make light work,众人拾柴火焰高,10
marriages are made in heaven,姻缘天注定,9
"marry in haste, repent at leisure",仓促成婚必多悔,6
measure twice and cut once,三思而后行,8
"measure twice, cut once",三思而后行,8
men are blind in their own cause,当局者迷旁观者清,10
mess with the bull and you get the horns,玩火者必自焚,8
"mess with the bull, get the horns",玩火者必自焚,8
might is right,强权即公理,9
"money talks, wealth whispers",有钱能使鬼推磨,7
nature abhors a vacuum,真空不长,7
nature does not do anything in vain,大自然无无用之物,5
never fight a land war in asia,知己知彼，百战不殆,4
never give advice unless asked,忠言逆耳少人听,5
no friends but the mountains,靠山山倒，靠人人跑,8
"no names, no pack-drill",此事只可意会不可言传,4
no one ever went broke underestimating the intelligence of the american public,永远不要低估群众的愚蠢,6
no one ever went broke underestimating the taste of the american people,永远不要低估群众的品味,5
no one ever went broke underestimating the taste of the american public,永远不要低估群众的品味,5
nobody ever went broke underestimating the good taste of the american people,永远不要低估群众的品味,5
nobody ever went broke underestimating the good taste of the american public,永远不要低估群众的品味,5
nobody ever went broke underestimating the intelligence of the american people,永远不要低估群众的愚蠢,6
nobody ever went broke underestimating the intelligence of the american public,永远不要低估群众的愚蠢,6
nobody ever went broke underestimating the taste of the american people,永远不要低估群众的品味,5
nobody ever went broke underestimating the taste of the american public,永远不要低估群众的品味,5
old sins have long shadows,旧账难消,6
"old soldiers never die, (they simply/just fade away)",老兵不死，只是渐凋零,8
on the internet nobody knows you're a dog,在网上没人知道你是一条狗,9
"on the internet, nobody knows you're a dog",在网上没人知道你是一条狗,9
"once a man, twice a boy",一次为人，两次为孩,3
"once a man, twice a child",人老还童,7
"once a thief, always a thief",江山易改，本性难移,10
"once a woman, twice a child",人老还童,5
"once a(n) _, always a(n",江山易改，本性难移,8
once an adult and twice a child,人老还童,7
"once an adult, twice a child",人老还童,7
"once bitten, twice shy",一朝被蛇咬，十年怕井绳,10
"once burned, twice cautious",一朝被蛇咬，十年怕井绳,9
"once burned, twice shy",一朝被蛇咬，十年怕井绳,10
"once hurt, twice shy",一朝被蛇咬，十年怕井绳,10
"once on shore, we pray no more",过河拆桥,9
one bad apple can spoil the barrel,一颗老鼠屎坏了一锅粥,10
one bad apple can spoil the whole bunch,一颗老鼠屎坏了一锅粥,10
one bad turn deserves another,冤冤相报何时了,7
one can run but one can't hide,法网恢恢，疏而不漏,9
one can't break a stick in a bundle,众人拾柴火焰高,8
one can't break a twig in a bundle,众人拾柴火焰高,8
one can't break sticks in a bundle,众人拾柴火焰高,8
